point_short_code,point_long_code,address_full,geometry
074,13074,65 Church St,"{'type': 'MultiPoint', 'coordinates': [[-79.3743531936554, 43.6502749164311]]}"
076,13076,145 Queen St E,"{'type': 'MultiPoint', 'coordinates': [[-79.3729690675719, 43.6536177061789]]}"
030,25030,128 East Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.1344743650252, 43.7850464257848]]}"
033,25033,5400 Lawrence Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.1422383222644, 43.7793019336713]]}"
049,09049,1169 Queen St W,"{'type': 'MultiPoint', 'coordinates': [[-79.425931003237, 43.6425984184286]]}"
055,13055,261 Jarvis St,"{'type': 'MultiPoint', 'coordinates': [[-79.3745924176942, 43.6579204164551]]}"
059,13059,251 Sherbourne St,"{'type': 'MultiPoint', 'coordinates': [[-79.3709168672675, 43.6592908128359]]}"
035,25035,186 Centennial Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.1492505532434, 43.7825469523064]]}"
066,13066,540 Queen St E,"{'type': 'MultiPoint', 'coordinates': [[-79.3576497840346, 43.6573424094546]]}"
016,09016,1900 Davenport Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4548585931816, 43.6709200141219]]}"
014,01014,70 Monterrey Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5747551861525, 43.7426035565314]]}"
062,13062,350 Parliament St,"{'type': 'MultiPoint', 'coordinates': [[-79.3669550617347, 43.6608245373338]]}"
063,13063,640 Dundas St E,"{'type': 'MultiPoint', 'coordinates': [[-79.3609607421943, 43.6607636385916]]}"
064,13064,120 Cornwall St,"{'type': 'MultiPoint', 'coordinates': [[-79.3569990853646, 43.6624162225411]]}"
017,01017,105 Thistle Down Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.5539537350338, 43.7380608406619]]}"
021,01021,10 Jamestown Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.582908112082, 43.7350715355536]]}"
046,18046,35 Church Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.411056249547, 43.7741078589817]]}"
002,24002,88 Corporate Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2497847666866, 43.7809561172766]]}"
003,24003,18 Lee Centre Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2485567917663, 43.781062768328]]}"
050,18050,432 Sheppard Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.391275284261, 43.766529761151]]}"
004,24004,38 Lee Centre Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2463910228794, 43.7818804272375]]}"
051,18051,100 Princess Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4059659483565, 43.7696090327771]]}"
005,24005,1 Lee Centre Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2454553604346, 43.7811917305063]]}"
052,18052,112 Spring Garden Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4062278794325, 43.7653513138484]]}"
006,24006,1967 Ellesmere Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2351078852929, 43.7755317569301]]}"
008,24008,2222 Ellesmere Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2284585858987, 43.7781651122844]]}"
024,22024,2350 Bridletowne Crcl,"{'type': 'MultiPoint', 'coordinates': [[-79.317033390284, 43.8007041901703]]}"
041,18041,18 Sommerset Way,"{'type': 'MultiPoint', 'coordinates': [[-79.4124434416059, 43.7765216288908]]}"
004,12004,2213 Dufferin St,"{'type': 'MultiPoint', 'coordinates': [[-79.4479966609746, 43.6912815689627]]}"
041,20041,120 Highview Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.259816624788, 43.7017413937537]]}"
042,20042,487 Birchmount Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2671279279676, 43.7071912568456]]}"
029,20029,30 Macduff Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.2411154201694, 43.7261289165667]]}"
030,20030,17 Brimley Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2391024579687, 43.7204595701913]]}"
031,20031,100 Brimley Rd S,"{'type': 'MultiPoint', 'coordinates': [[-79.2404353720764, 43.7147788010578]]}"
033,20033,459 Midland Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.2490593761566, 43.7141086801971]]}"
024,12024,111 Manor Rd E,"{'type': 'MultiPoint', 'coordinates': [[-79.3912541002801, 43.7032766970911]]}"
011,12011,700 Eglinton Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4208022291975, 43.7022301877205]]}"
002,20002,3176 St Clair Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.2936158401158, 43.7101599387009]]}"
049,20049,313 Pharmacy Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.284678579475, 43.7014077642869]]}"
009,18009,110 Drewry Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4236071352384, 43.7866244564501]]}"
040,12040,1570 Yonge St,"{'type': 'MultiPoint', 'coordinates': [[-79.3958101148592, 43.6902712451835]]}"
049,12049,31 Tichester Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4188548637874, 43.6852931154525]]}"
026,20026,10 Bellamy Rd S,"{'type': 'MultiPoint', 'coordinates': [[-79.2256018786147, 43.732648962951]]}"
028,20028,49 Cathedral Bluffs Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2296265608002, 43.7235532119492]]}"
054,12054,60 Atlas Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4322064448468, 43.6829136856874]]}"
059,12059,601 Christie St,"{'type': 'MultiPoint', 'coordinates': [[-79.4240949244547, 43.6799588393058]]}"
061,12061,26 Vaughan Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4188691994591, 43.6818255335789]]}"
032,20032,530 Midland Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.2512015337097, 43.7173721859834]]}"
034,20034,51 Chine Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2417968940952, 43.7099825934536]]}"
021,15021,2 Strathgowan Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.3895057084414, 43.7199314988808]]}"
016,15016,2075 Bayview Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3778753698132, 43.7219376454118]]}"
001,22001,100 Bamburgh Crcl,"{'type': 'MultiPoint', 'coordinates': [[-79.3278303529869, 43.8136943030972]]}"
031,03031,45 Cloverhill Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4901975062684, 43.6344998506233]]}"
035,03035,781 The Queensway,"{'type': 'MultiPoint', 'coordinates': [[-79.50575712972, 43.625438666049]]}"
002,11002,485 Montrose Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4203298154889, 43.662402292334]]}"
006,11006,843 Palmerston Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4156792413481, 43.6714099856944]]}"
008,11008,100 Howland Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4102575107428, 43.6689998744924]]}"
040,22040,35 Glendower Crct,"{'type': 'MultiPoint', 'coordinates': [[-79.3002623454523, 43.7944199052402]]}"
034,03034,1040 The Queensway,"{'type': 'MultiPoint', 'coordinates': [[-79.5165287773095, 43.6236069289472]]}"
036,03036,11 Morgan Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.5009553836076, 43.6257451246799]]}"
032,03032,675 Royal York Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5039309346666, 43.6308148274845]]}"
006,07006,45 Blacksmith Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.5268106869839, 43.7711639591637]]}"
016,07016,15 San Romanoway,"{'type': 'MultiPoint', 'coordinates': [[-79.5160062317487, 43.7590998562982]]}"
061,02061,500 The East Mall,"{'type': 'MultiPoint', 'coordinates': [[-79.5616948758766, 43.6491679256634]]}"
028,21028,1860 Lawrence Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.3030774247849, 43.7440620052931]]}"
051,03051,80 Marine Parade Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.4773004743245, 43.6261937281605]]}"
006,01006,175 Mount Olive Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5957518765444, 43.7500111297374]]}"
050,13050,21 Carlton St,"{'type': 'MultiPoint', 'coordinates': [[-79.3819244608602, 43.6610937912384]]}"
003,03003,85 The Kingsway,"{'type': 'MultiPoint', 'coordinates': [[-79.5079140179305, 43.6529169297955]]}"
024,21024,20 Canadian Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2986099098297, 43.7609783982559]]}"
035,21035,2411 Lawrence Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.2743686233671, 43.7492923762038]]}"
012,12012,80 Braemar Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4096932774579, 43.7025715516779]]}"
013,12013,200 Eglinton Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4046230151405, 43.7061058348855]]}"
018,12018,130 Eglinton Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.3945751571179, 43.7080239113978]]}"
009,20009,21 Kenmark Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.2659221067688, 43.7298353180624]]}"
018,20018,330 McCowan Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2385846080025, 43.737301538995]]}"
035,12035,71 Merton St,"{'type': 'MultiPoint', 'coordinates': [[-79.3941236014939, 43.6963208685716]]}"
002,22002,55 Bamburgh Crcl,"{'type': 'MultiPoint', 'coordinates': [[-79.3264424399591, 43.8146935762851]]}"
004,22004,20 Elmfield Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.3081805175917, 43.8188359157905]]}"
011,20011,725 Danforth Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2577951258558, 43.7190391303319]]}"
025,12025,155 Millwood Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3925361496638, 43.6999838283276]]}"
039,12039,26 Delisle Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.395965808411, 43.6892872300369]]}"
052,12052,15 Cherrywood Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4280204516617, 43.6866350930218]]}"
062,12062,1339 Bathurst St,"{'type': 'MultiPoint', 'coordinates': [[-79.4164954704994, 43.6791973580118]]}"
067,12067,63 St Clair Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.3975493691632, 43.6865719415524]]}"
068,12068,85 Birch Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3956090079305, 43.6803794372321]]}"
069,12069,255 Spadina Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4071529009014, 43.6768916111098]]}"
072,12072,600 Melita Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.4226898373082, 43.6731812452544]]}"
059,18059,18 Hollywood Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4110936875493, 43.7665036806549]]}"
010,24010,30 Highcastle Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2157156151986, 43.7881110156292]]}"
010,22010,255 Bamburgh Crcl,"{'type': 'MultiPoint', 'coordinates': [[-79.3221527792869, 43.8135372709514]]}"
017,22017,201 Chester Le Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.3310953374293, 43.7985877008564]]}"
018,22018,55 Huntingdale Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.3251767136108, 43.7957988205805]]}"
025,18025,227 Drewry Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4265104765386, 43.7834853825344]]}"
027,18027,130 Yorkview Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.4355664221908, 43.7725736106375]]}"
029,18029,188 Churchill Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4270361642829, 43.7707536046539]]}"
030,18030,75 Churchill Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4191261181412, 43.7716914059033]]}"
013,20013,5 Greystone Walk Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2517609386017, 43.7255372254381]]}"
019,24019,80 Slan Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.2150687264433, 43.7751558784252]]}"
005,23005,112 Goldhawk Trl,"{'type': 'MultiPoint', 'coordinates': [[-79.2785533935458, 43.819268975669]]}"
031,22031,44 Kelvinway Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3241164541271, 43.7918372535513]]}"
