point_short_code,point_long_code,geometry
012,12012,"{'type': 'MultiPoint', 'coordinates': [[-79.4096932774579, 43.7025715516779]]}"
013,12013,"{'type': 'MultiPoint', 'coordinates': [[-79.4046230151405, 43.7061058348855]]}"
018,12018,"{'type': 'MultiPoint', 'coordinates': [[-79.3945751571179, 43.7080239113978]]}"
009,20009,"{'type': 'MultiPoint', 'coordinates': [[-79.2659221067688, 43.7298353180624]]}"
018,20018,"{'type': 'MultiPoint', 'coordinates': [[-79.2385846080025, 43.737301538995]]}"
035,12035,"{'type': 'MultiPoint', 'coordinates': [[-79.3941236014939, 43.6963208685716]]}"
002,22002,"{'type': 'MultiPoint', 'coordinates': [[-79.3264424399591, 43.8146935762851]]}"
004,22004,"{'type': 'MultiPoint', 'coordinates': [[-79.3081805175917, 43.8188359157905]]}"
011,20011,"{'type': 'MultiPoint', 'coordinates': [[-79.2577951258558, 43.7190391303319]]}"
025,12025,"{'type': 'MultiPoint', 'coordinates': [[-79.3925361496638, 43.6999838283276]]}"
039,12039,"{'type': 'MultiPoint', 'coordinates': [[-79.395965808411, 43.6892872300369]]}"
052,12052,"{'type': 'MultiPoint', 'coordinates': [[-79.4280204516617, 43.6866350930218]]}"
062,12062,"{'type': 'MultiPoint', 'coordinates': [[-79.4164954704994, 43.6791973580118]]}"
067,12067,"{'type': 'MultiPoint', 'coordinates': [[-79.3975493691632, 43.6865719415524]]}"
068,12068,"{'type': 'MultiPoint', 'coordinates': [[-79.3956090079305, 43.6803794372321]]}"
069,12069,"{'type': 'MultiPoint', 'coordinates': [[-79.4071529009014, 43.6768916111098]]}"
072,12072,"{'type': 'MultiPoint', 'coordinates': [[-79.4226898373082, 43.6731812452544]]}"
059,18059,"{'type': 'MultiPoint', 'coordinates': [[-79.4110936875493, 43.7665036806549]]}"
010,24010,"{'type': 'MultiPoint', 'coordinates': [[-79.2157156151986, 43.7881110156292]]}"
010,22010,"{'type': 'MultiPoint', 'coordinates': [[-79.3221527792869, 43.8135372709514]]}"
017,22017,"{'type': 'MultiPoint', 'coordinates': [[-79.3310953374293, 43.7985877008564]]}"
018,22018,"{'type': 'MultiPoint', 'coordinates': [[-79.3251767136108, 43.7957988205805]]}"
025,18025,"{'type': 'MultiPoint', 'coordinates': [[-79.4265104765386, 43.7834853825344]]}"
027,18027,"{'type': 'MultiPoint', 'coordinates': [[-79.4355664221908, 43.7725736106375]]}"
029,18029,"{'type': 'MultiPoint', 'coordinates': [[-79.4270361642829, 43.7707536046539]]}"
030,18030,"{'type': 'MultiPoint', 'coordinates': [[-79.4191261181412, 43.7716914059033]]}"
013,20013,"{'type': 'MultiPoint', 'coordinates': [[-79.2517609386017, 43.7255372254381]]}"
019,24019,"{'type': 'MultiPoint', 'coordinates': [[-79.2150687264433, 43.7751558784252]]}"
005,23005,"{'type': 'MultiPoint', 'coordinates': [[-79.2785533935458, 43.819268975669]]}"
031,22031,"{'type': 'MultiPoint', 'coordinates': [[-79.3241164541271, 43.7918372535513]]}"
080,18080,"{'type': 'MultiPoint', 'coordinates': [[-79.4071126847266, 43.7560487701648]]}"
081,18081,"{'type': 'MultiPoint', 'coordinates': [[-79.4083803124087, 43.7562925735017]]}"
083,18083,"{'type': 'MultiPoint', 'coordinates': [[-79.4094173735591, 43.7576418867129]]}"
084,18084,"{'type': 'MultiPoint', 'coordinates': [[-79.4135471740452, 43.7534007337369]]}"
085,18085,"{'type': 'MultiPoint', 'coordinates': [[-79.421251554251, 43.7543606984639]]}"
032,01032,"{'type': 'MultiPoint', 'coordinates': [[-79.6191818734033, 43.7288858667834]]}"
045,18045,"{'type': 'MultiPoint', 'coordinates': [[-79.4110929651348, 43.7801808804691]]}"
001,24001,"{'type': 'MultiPoint', 'coordinates': [[-79.2498153214279, 43.7729012284117]]}"
048,18048,"{'type': 'MultiPoint', 'coordinates': [[-79.3949742011282, 43.7838330777765]]}"
049,18049,"{'type': 'MultiPoint', 'coordinates': [[-79.3918291306292, 43.7705185087478]]}"
025,22025,"{'type': 'MultiPoint', 'coordinates': [[-79.3180737471701, 43.80291776814]]}"
016,24016,"{'type': 'MultiPoint', 'coordinates': [[-79.2034867505943, 43.7806221448648]]}"
028,22028,"{'type': 'MultiPoint', 'coordinates': [[-79.3023769660098, 43.8044295089524]]}"
029,22029,"{'type': 'MultiPoint', 'coordinates': [[-79.3022463993111, 43.8053583871689]]}"
017,24017,"{'type': 'MultiPoint', 'coordinates': [[-79.2108470572537, 43.7774253140666]]}"
018,24018,"{'type': 'MultiPoint', 'coordinates': [[-79.2081104575107, 43.7711994113637]]}"
020,24020,"{'type': 'MultiPoint', 'coordinates': [[-79.2243167892305, 43.7731919492023]]}"
016,20016,"{'type': 'MultiPoint', 'coordinates': [[-79.2592728838712, 43.7332366101358]]}"
005,18005,"{'type': 'MultiPoint', 'coordinates': [[-79.4345576870743, 43.7899554182757]]}"
001,07001,"{'type': 'MultiPoint', 'coordinates': [[-79.5793835598587, 43.7564805895832]]}"
018,18018,"{'type': 'MultiPoint', 'coordinates': [[-79.4128288892034, 43.7810880038477]]}"
019,18019,"{'type': 'MultiPoint', 'coordinates': [[-79.412955356299, 43.7814934852008]]}"
020,18020,"{'type': 'MultiPoint', 'coordinates': [[-79.4143799706243, 43.7808324003906]]}"
066,20066,"{'type': 'MultiPoint', 'coordinates': [[-79.2785659239745, 43.6793188262702]]}"
062,20062,"{'type': 'MultiPoint', 'coordinates': [[-79.2713029946246, 43.6878306977544]]}"
063,20063,"{'type': 'MultiPoint', 'coordinates': [[-79.2756755936016, 43.6841760306223]]}"
014,21014,"{'type': 'MultiPoint', 'coordinates': [[-79.2572409577755, 43.7728105957421]]}"
