_id,POINT_ID,POINT_TYPE_ID,POINT_TYPE,FEATURE_CODE,FEATURE_CODE_DESC,POINT_SHORT_CODE,POINT_LONG_CODE,POINT_NAME,POINT_DESC,REF_FEATURE_TYPE,REF_FEATURE_ID_SPAT,REF_FEATURE_ID_TAB,SOURCE_FEATURE_TYPE,SOURCE_FEATURE_ID,VOTER_COUNT,OBJECTID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,geometry
888,10030,,VOTING_LOCATION,P,Primary,021,14021,Nisbet Lodge,None,None,,,ADDRESS_POINT,10379331,140,2853,740,Pape Ave,740 Pape Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3458558345141, 43.6805424818302]]}"
889,10305,,VOTING_LOCATION,P,Primary,049,21049,Lord Roberts Junior Public School,None,None,,,ADDRESS_POINT,356987,1630,2855,165,Lord Roberts Dr,165 Lord Roberts Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2636373332983, 43.7413177791394]]}"
890,10556,,VOTING_LOCATION,P,Primary,079,11079,None,None,None,,,ADDRESS_POINT,868454,617,2856,280,Simcoe St,280 Simcoe St,"{'type': 'MultiPoint', 'coordinates': [[-79.3898207194598, 43.6553840363507]]}"
891,10276,,VOTING_LOCATION,P,Primary,073,11073,Kensington Manor,None,None,,,ADDRESS_POINT,8104738,1322,2857,34,Oxford St,34 Oxford St,"{'type': 'MultiPoint', 'coordinates': [[-79.4017905457018, 43.6568969210253]]}"
892,10651,,VOTING_LOCATION,P,Primary,004,15004,Dunlace Public School,None,None,,,ADDRESS_POINT,9963196,1910,2858,20,Dunlace Dr,20 Dunlace Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3703573292119, 43.7624594249816]]}"
893,10955,,VOTING_LOCATION,P,Primary,029,15029,Northern Secondary School,None,None,,,ADDRESS_POINT,845013,3435,2859,851,Mount Pleasant Rd,851 Mount Pleasant Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3901642998392, 43.7105370975811]]}"
894,10581,,VOTING_LOCATION,P,Primary,031,15031,CNIB,None,None,,,ADDRESS_POINT,7632534,1809,2860,1929,Bayview Ave,1929 Bayview Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3775239823918, 43.7173309693189]]}"
895,12429,,VOTING_LOCATION,P,Primary,042,03042,Palace Pier,None,None,,,ADDRESS_POINT,1012993,733,2861,2045,Lake Shore Blvd W,2045 Lake Shore Blvd W,"{'type': 'MultiPoint', 'coordinates': [[-79.4745155052064, 43.6315001748956]]}"
896,12442,,VOTING_LOCATION,P,Primary,054,03054,None,None,None,,,ADDRESS_POINT,30074744,505,2862,33,Shore Breeze Dr,33 Shore Breeze Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.4792234259622, 43.6238861615122]]}"
897,10636,,VOTING_LOCATION,P,Primary,040,17040,St. Matthias Catholic School,None,None,,,ADDRESS_POINT,571309,1589,2863,101,Van Horne Ave,101 Van Horne Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3594556324106, 43.7848902249538]]}"
